,date,id,tweet,userid
125,2017-04-21 19:30:51,855504119167033344,According to @conedison there is no serious power outage in #newyork https://apps.coned.com/stormcenter/external/default.html …,b'johnguilfoil'
126,2017-04-21 16:09:52,855453542177484802,".@MTA trains running after @ConEdison power outage ""Extensive delays"" on these lines #abc7nypic.twitter.com/SXPUzEyyLP",b'TimFleischer7'
127,2017-04-21 15:35:56,855445002868207617,"@MTA , @ConEdison Working to Find Cause of Subway Power Outage
@PBS @ThirteenWNET
http://bit.ly/2pMsItl ",b'MetroFocus'
128,2017-04-21 15:24:05,855442020504154112,Raise your hand if you've been personally victimized by the @ConEdison power outage at 7 Av-53 St.,b'brianbrownbear'
129,2017-04-21 15:23:53,855441969950183425,.@ConEdison crews at scene of #subway power outage at 7 Av-53 St in Midtown via @NYCTSubway. http://spcne.ws/V7wPE4S pic.twitter.com/kXI5SrV1fN,b'NY1'
130,2017-04-21 14:38:34,855430563590811649,@ConEdison 53rd & 7. Power outage. Thanks a lot. Disgrace,b'budapest411'
131,2017-04-21 14:17:35,855425285289902080,Almost all lettered trains not working from power outage at 53rd and 7th. @MTA blaming @ConEdison. What a mess.,b'snowandbass'
132,2017-04-21 14:12:27,855423993511366659,150 minutes to get to midtown ...it usually  takes me 40 min... apparently a @ConEdison power outage @MTA scrambling  #HappyFriday,b'FloJocou'
133,2017-04-21 13:25:03,855412065326030848,"Sources report a power outage in Manhattan.
CC @ConEdison",b'aussietorres'
134,2017-04-03 03:49:03,848744127248433153,NotifyNYC: .ConEdison ConEd is responding to a power outage in QN; ZIP 11414. Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
135,2017-04-03 03:48:40,848744032524283904,.@ConEdison ConEd is responding to a power outage in QN; ZIP 11414. Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'NotifyNYC'
136,2017-03-28 15:39:35,846748609932673025,NotifyNYC: .ConEdison ConEd is responding to a power outage in SI; ZIP 10314.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
137,2017-03-28 15:36:18,846747786070536192,.@ConEdison ConEd is responding to a power outage in SI; ZIP 10314.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'NotifyNYC'
138,2017-03-26 23:07:21,846136521283551232,NotifyNYC: .ConEdison is responding to a power outage in SI ZIP code 10305.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
139,2017-03-26 22:57:38,846134073798086658,.@ConEdison is responding to a power outage in SI ZIP code 10305.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'NotifyNYC'
140,2017-05-01 18:31:21,859113024573112324,NotifyNYC: .ConEdison is responding to a power outage in BX ZIP 10466.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'EastCoast911IA'
141,2017-05-01 18:28:28,859112299184914433,.@ConEdison is responding to a power outage in BX ZIP 10466.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC .,b'NotifyNYC'
142,2017-04-26 10:29:17,857179770538397698,"NotifyNYC: .ConEdison is responding to a power outage in Wakefield, BX ZIPs 10467,10466.  Report service loss: 1-8… http://on.nyc.gov/22lyehC ",b'EastCoast911IA'
143,2017-04-26 10:25:22,857178784885329920,".@ConEdison is responding to a power outage in Wakefield, BX ZIPs 10467,10466.  Report service loss: 1-800-75-CONED. http://on.nyc.gov/22lyehC ",b'NotifyNYC'
144,2017-04-24 15:45:51,856534659622109188,.@ConEdison says cable failure caused Friday's masive #subway power outage. http://spcne.ws/ioVnLTD pic.twitter.com/iXTL0QtLNL,b'NY1'
145,2017-04-21 19:30:51,855504119167033344,According to @conedison there is no serious power outage in #newyork https://apps.coned.com/stormcenter/external/default.html …,b'johnguilfoil'
146,2017-04-21 16:09:52,855453542177484802,".@MTA trains running after @ConEdison power outage ""Extensive delays"" on these lines #abc7nypic.twitter.com/SXPUzEyyLP",b'TimFleischer7'
147,2017-04-21 15:35:56,855445002868207617,"@MTA , @ConEdison Working to Find Cause of Subway Power Outage
@PBS @ThirteenWNET
http://bit.ly/2pMsItl ",b'MetroFocus'
148,2017-04-21 15:24:05,855442020504154112,Raise your hand if you've been personally victimized by the @ConEdison power outage at 7 Av-53 St.,b'brianbrownbear'
149,2017-04-21 15:23:53,855441969950183425,.@ConEdison crews at scene of #subway power outage at 7 Av-53 St in Midtown via @NYCTSubway. http://spcne.ws/V7wPE4S pic.twitter.com/kXI5SrV1fN,b'NY1'
150,2017-04-21 14:38:34,855430563590811649,@ConEdison 53rd & 7. Power outage. Thanks a lot. Disgrace,b'budapest411'
151,2017-04-21 14:17:35,855425285289902080,Almost all lettered trains not working from power outage at 53rd and 7th. @MTA blaming @ConEdison. What a mess.,b'snowandbass'
